date,sunspot_ms
1956-05, 180.4
1956-06, 193.9
1956-07, 206.1
1956-08, 211.8
1956-09, 214.5
1956-10, 220.6
1956-11, 226.0
1956-12, 232.7
1957-01, 241.1
1957-02, 243.8
1957-03, 246.8
1957-04, 256.3
1957-05, 262.7
1957-06, 266.1
1957-07, 271.1
1957-08, 275.3
1957-09, 279.3
1957-10, 282.5
1957-11, 284.4
1957-12, 283.3
1958-01, 281.8
1958-02, 284.5
1958-03, 285.0
1958-04, 278.7
1958-05, 271.0
1958-06, 264.5
1958-07, 262.3
1958-08, 261.9
1958-09, 260.3
1958-10, 258.1
1958-11, 255.9
1958-12, 255.6
1959-01, 252.9
1959-02, 250.4
1959-03, 247.1
1959-04, 239.7
1959-05, 233.9
1959-06, 228.5
1959-07, 220.6
1959-08, 214.2
1959-09, 207.1
1959-10, 199.7
1959-11, 194.2
1959-12, 187.6
1960-01, 182.5
1960-02, 177.0
1960-03, 172.1
1960-04, 169.4
1960-05, 165.7
1960-06, 161.3
1960-07, 153.8
1960-08, 145.0
1960-09, 138.6
1960-10, 132.1
1960-11, 124.5
1960-12, 118.5
1961-01, 113.6
1961-02, 105.9
1961-03,  97.5
1961-04,  91.1
1961-05,  85.1
1961-06,  79.1
1961-07,  75.3
1961-08,  74.4
1961-09,  74.3
1961-10,  73.0
1961-11,  71.7
1961-12,  69.1
1962-01,  64.2
1962-02,  59.4
1962-03,  56.7
1962-04,  56.1
1962-05,  55.9
1962-06,  54.6
1962-07,  52.5
1962-08,  49.8
1962-09,  46.7
1962-10,  44.0
1962-11,  42.9
1962-12,  42.6
1963-01,  42.1
1963-02,  42.6
1963-03,  42.6
1963-04,  41.6
1963-05,  41.1
1963-06,  40.4
1963-07,  39.7
1963-08,  39.0
1963-09,  38.6
1963-10,  37.4
1963-11,  34.2
1963-12,  30.7
1964-01,  28.1
1964-02,  25.7
1964-03,  22.3
1964-04,  18.6
1964-05,  16.0
1964-06,  15.0
1964-07,  15.2
1964-08,  15.1
1964-09,  14.6
1964-10,  14.3
1964-11,  15.0
1964-12,  16.2
1965-01,  17.2
1965-02,  17.7
1965-03,  18.4
1965-04,  19.9
1965-05,  21.2
1965-06,  21.8
1965-07,  22.6
1965-08,  23.8
1965-09,  25.2
1965-10,  28.4
1965-11,  32.1
1965-12,  35.2
1966-01,  39.7
1966-02,  44.8
1966-03,  49.2
1966-04,  53.3
1966-05,  57.9
1966-06,  63.4
1966-07,  71.4
1966-08,  80.3
1966-09,  89.5
1966-10,  95.8
1966-11,  99.4
1966-12, 103.0
1967-01, 106.2
1967-02, 111.6
1967-03, 116.5
1967-04, 119.8
1967-05, 123.9
1967-06, 129.4
1967-07, 133.3
